mat_alu,nome,dat_entrada,cotista
1,Teste,2022-06-04,N
2,Jorge,2021-01-04,S
3,Pericles,2017-06-20,N
4,Lucas,2017-06-20,S
5,IDELFONCIO,2022-06-10,N
6,ISMAELMA,2022-06-10,S
7,NAIANA,2022-06-10,S
8,IVANICIA,2022-06-10,S
9,ZIFIRINA,2022-06-10,S
10,REMIVALDO,2022-06-10,S
11,GILSIVAN,2022-06-10,N
12,CLEUCIMAR,2022-06-10,S
13,ROSELIO,2022-06-10,N
14,GEDI,2022-06-10,S
15,KETLIN,2022-06-10,S
16,YASSUKO,2022-06-10,N
17,TARCILLA,2022-06-10,N
18,ANDRIOS,2022-06-10,S
19,WALDENICE,2022-06-10,N
20,DAIMON,2022-06-10,N
21,MARKSUEL,2022-06-10,S
22,ADROVANDO,2022-06-10,S
23,IZENETE,2022-06-10,N
24,JACI,2022-06-10,S
25,JOELITON,2022-06-10,N
26,CRISLENE,2022-06-10,N
27,ROSETTE,2022-06-10,N
28,ALDAGISA,2022-06-10,S
29,EMILIANO,2022-06-10,S
30,AMORITA,2022-06-10,S
31,DANGELES,2022-06-10,S
32,JANDIS,2022-06-10,N
33,ANANEIDE,2022-06-10,S
34,ENILDO,2022-06-10,N
35,IARA,2022-06-10,N
36,NEUDIANE,2022-06-10,N
37,DELANIA,2022-06-10,S
38,ALCIRIA,2022-06-10,S
39,MARLEN,2022-06-10,S
40,LICIONE,2022-06-10,N
41,JORCELINO,2022-06-10,N
42,JOCEANA,2022-06-10,S
43,LAWANE,2022-06-10,N
44,DELVANO,2022-06-10,S
45,JOSIMARIA,2022-06-10,S
46,ARCIDIO,2022-06-10,S
47,ZEZILDO,2022-06-10,S
48,MARINETO,2022-06-10,N
49,MACIELI,2022-06-10,S
50,TALISMAN,2022-06-10,S
51,DANUSE,2022-06-10,N
52,SIDRACK,2022-06-10,S
53,ANTONISIO,2022-06-10,S
54,VALDILENI,2022-06-10,N
55,SIVONEI,2022-06-10,S
56,DHESSICA,2022-06-10,S
57,ARLISON,2022-06-10,S
58,VALDITE,2022-06-10,N
59,BOSCO,2022-06-10,N
60,NADIELI,2022-06-10,S
61,AMARANTINO,2022-06-10,S
62,ROSEJANE,2022-06-10,N
63,INAE,2022-06-10,S
64,DULCINEI,2022-06-10,N
65,SANIELE,2022-06-10,N
66,JONATAN,2022-06-10,S
67,JUSINEIDE,2022-06-10,S
68,MARINO,2022-06-10,S
69,MARCILENO,2022-06-10,S
70,DEOLINDO,2022-06-10,S
71,LINDARIO,2022-06-10,S
72,VALNITA,2022-06-10,N
73,INDIANARA,2022-06-10,S
74,ILDEBRANDE,2022-06-10,S
75,UESLEN,2022-06-10,N
76,IORRANA,2022-06-10,S
77,DILNEI,2022-06-10,N
78,VANILA,2022-06-10,N
79,LEDOINA,2022-06-10,N
80,SORLANDIA,2022-06-10,N
81,EUCILENE,2022-06-10,S
82,BERLIM,2022-06-10,S
83,CIANO,2022-06-10,S
84,KUMIKO,2022-06-10,N
85,ANAILMA,2022-06-10,S
86,IRANES,2022-06-10,S
87,ANAMARES,2022-06-10,N
88,GLEICA,2022-06-10,N
89,DALVIENE,2022-06-10,S
90,AUMERI,2022-06-10,S
91,JULHO,2022-06-10,N
92,TAILINI,2022-06-10,S
93,JADISSON,2022-06-10,S
94,DEUSIMARIO,2022-06-10,N
95,EDILIA,2022-06-10,S
96,ODALGIRO,2022-06-10,S
97,JOSOE,2022-06-10,S
98,FRANKLIN,2022-06-10,S
99,DARFINI,2022-06-10,N
100,EURIZETE,2022-06-10,S
101,DENILCE,2022-06-10,S
102,GENELCI,2022-06-10,S
103,ILARIA,2022-06-10,S
104,FERLANDIA,2022-06-10,N
105,ROSIMAR,2022-06-10,S
106,ALISON,2022-06-10,N
107,RAFANI,2022-06-10,N
108,WELLBER,2022-06-10,N
109,CLINEU,2022-06-10,S
110,WINDSON,2022-06-10,N
111,VALNICIA,2022-06-10,S
112,CLEONICIO,2022-06-10,N
113,IRANET,2022-06-10,N
114,LILLIAN,2022-06-10,N
115,DEMIVALDO,2022-06-10,S
116,DIEISSON,2022-06-10,N
117,EGLAINE,2022-06-10,S
118,RAINI,2022-06-10,N
119,ODEGAR,2022-06-10,N
120,TAIRINI,2022-06-10,N
121,LAZARINO,2022-06-10,N
122,JUTSON,2022-06-10,S
123,DULCELENA,2022-06-10,S
124,DEUSELI,2022-06-10,N
125,JANICIO,2022-06-10,N
126,ALDEIZA,2022-06-10,S
127,ARAUJO,2022-06-10,N
128,REGIVANE,2022-06-10,S
129,EDNAIR,2022-06-10,N
130,MATOSALEM,2022-06-10,N
131,RINA,2022-06-10,N
132,ALCICLEA,2022-06-10,N
133,JOANATA,2022-06-10,S
134,KERLISSON,2022-06-10,S
135,TIONES,2022-06-10,S
136,BLANCHE,2022-06-10,S
137,SADIA,2022-06-10,N
138,DEJAILDA,2022-06-10,S
